term,quantity
Diri Kole ak Pwa,1
beans,8
rice,6
epis,5
peppery,1
seasoning,1
sofrito,1
stews,1
marinate,1
meat,1
citrus,1
bell pepper,2
white onion,1
shallot,2
celery stalk,1
scallion,4
scoth bonnet,2
habanero chile,2
garlic cloves,3
clove,2
cilantro leaves,1
parsley leaves,1
olive oil,2
thyme leaves,1
distilled white vinegar,1
lime juice,2
scallions,1
dried kidney beans,1
kosher salt,2
basmati rice,1
onion,4
thyme,4
black pepper,1
celery,1
chile,2
garlic,4
cilantro,1
parsley,1
oil,2
sauce,1
salt,2
water,3
broth,3
cook,1
pepper,1
