term,quantity
olive oil,1
galette,3
spicy,1
green,1
butter,1
pie dough,1
yogurt,1
dough,1
all-purpose flour,2
sugar,2
kosher salt,1
plain yogurt,1
extra-virgin olive oil,2
leek,2
scallions,1
garlic cloves,1
crushed red pepper flakes,1
swiss chard,3
kosher salt,1
ground pepper,1
parmesan,2
grated,1
egg,1
greek yogurt,1
herbs,2
dill,1
parsley,1
tarragon,1
lemon zest,2
grated,1
flour,1
salt,1
yogurt,4
oil,2
dough,7
ice water,1
garlic,2
red pepper flakes,1
chard,1
salt,1
pepper,1
floured,1
