term,quantity
cocktail,2
beer,3
radishes,1
chicken,2
canola oil,1
kohlrabi,2
queso fresco,1
sunflower shoots,1
cheese,2
beer,1
crackers,2
sourdough,2
zucchini,1
pork,3
oeufs-en-cocotte,1
eggs,1
cream,1
sauce,1
mushrooms,3
onions,1
potatoes,2
brassica sprouts,1
shrimp,1
tartine,1
house gravlax,1
beef,3
onion,1
radish,1
piave vecchio,1
kale,1
cabbage,1
rice,1
vinaigrette,1
crudo,1
basil,1
citrus,1
olive oil,1
apple,2
seafood,1
egg,1
chervil aioli,1
greens,1
borscht,1
sausage,2
dill,1
gouda,1
buttermilk,1
bacon,1
carpaccio,1
liver,1
paté,1
toast,1
mustard,1
beet,1
meat,3
bbq,2
barbecue,1
sauces,1
brisket,1
ribs,1
beans,1
mac and cheese,1
clementine,1
mussels,1
sherry,1
brunost,1
potato,1
shallots,1
herbs,1
tartine,1
rye,1
bread,1
butter,1
celery,1
vinegar,1
vanilla,1
honey,1
cocktails,2
lobster,1
prawn,1
molcajete,1
duck,1
carnitas,1
tamarind,1
salsa,1
churros,1
milk,1
chocolate,1
dulce de leche,1
tequila,1
pineapple,1
cinnamon,1
syrup,1
lemon,1
cacio e pepe,1
wine,1
wines,1
tomato,1
ricotta,2
mint,1
chili,1
crostini,1
tonnarelli,1
gnocchi,1
