term,Count
dumplings,3
mochi,6
tofu,4
tofu shiratama dango,4
dango,9
rice flour,3
rice mochigome,
flour,
ice cream,3
syrup,
soup,4
shiratamako,2
silken tofu,1
mochiko,1
water,4
maple,1
soy,2
mitarashi dango,2
maple syrup,3
soy sauce,2
white sugar,1
potato starch,1
toasted soybean powde,1
peanut powder,1
parfaits,2
soft-serve,1
cornflakes,1
azuki,1
chiffon cake,1
candied chestnuts,1
maple glaze,1
ozoni,3
sticky rice,1
onion,1
dashi,1
red miso,1
egg,1
broth,1
chocolate chip ice cream,1
chocolate chips,1
